Website Name,Sessions,Views,Avg View Time (Sec),Bounce Rate %
City Of Toronto||www.toronto.ca/,5083464,5764191,84.1293731539555,0.6553423020208268
"Services & Payments, Parking Violation Notice Lookup||secure.toronto.ca/webapps/parking/",1580688,2692846,210.7200135381595,0.5009242810725456
Pay Your Parking Violation||www.toronto.ca/services-payments/tickets-fines-penalties/pay/pay-your-parking-violation/,1545042,1961673,148.4687133336967,0.26107380899677807
Search Results||find.toronto.ca/searchblox/servlet/searchservlet,1278543,2366612,101.5591382707825,0.6350830593886948
Parking Violations||www.toronto.ca/services-payments/tickets-fines-penalties/pay/parking-violations/,1008478,1129983,17.286750194839133,0.03719962160800731
Toronto Fire Active Incidents||www.toronto.ca/community-people/public-safety-alerts/alerts-notifications/toronto-fire-active-incidents/,981599,1607235,346.9112163559869,0.714870328922503
All Ferry Schedules||www.toronto.ca/explore-enjoy/parks-gardens-beaches/toronto-island-park/all-ferry-schedules/,978236,1111266,321.8550312823629,0.7644873016327348
Pay Your Provincial Offence||www.toronto.ca/services-payments/tickets-fines-penalties/pay/pay-your-provincial-offence/,921628,1162768,254.1814297101628,0.5092857421866523
Vacant Home Tax||www.toronto.ca/services-payments/property-taxes-utilities/vacant-home-tax/,888272,1448839,91.39538086490359,0.30477488877280834
Court Case Look Up - Terms And Conditions||secure.toronto.ca/courtcaselookup/welcome.jsf,806485,1085006,30.42347094723616,0.17782723795234878
Property Tax Lookup||www.toronto.ca/services-payments/property-taxes-utilities/lookup-your-property-tax/property-tax-lookup/,718328,967107,292.86306959978896,0.1986223563608825
Agenda Item History||secure.toronto.ca/council/agenda-item.do,702935,1212937,245.26768102465383,0.5654761820082937
Parking Violation Dispute Process||www.toronto.ca/services-payments/tickets-fines-penalties/dispute/new-parking-violation-dispute-process/,679602,1244599,98.91341252818279,0.1495419377812308
Collection Schedule||www.toronto.ca/services-payments/recycling-organics-garbage/houses/collection-schedule/,679443,772496,156.0610605202005,0.6600097432750062
Court Case Look Up - Welcome||secure.toronto.ca/courtcaselookup/button.jsf,655271,931158,19.031926492253213,0.0011430385290971217
Court Case Look Up - Lookup||secure.toronto.ca/courtcaselookup/lookup.jsf,636724,2614848,45.027629916259095,0.003075115748738857
"Tickets, Fines & Penalties||www.toronto.ca/services-payments/tickets-fines-penalties/",610800,795578,61.20975380088279,0.13075965946299933
Vacant Home Tax Declaration Of Occupancy Status||www.toronto.ca/services-payments/property-taxes-utilities/vacant-home-tax/vacant-home-tax-declaration-of-occupancy-status/,581632,805980,352.36218881837266,0.17568153058978872
Court Case Look Up - Results||secure.toronto.ca/courtcaselookup/lookup.jsf,445560,769341,99.45713315327264,9.58344555166532E-4
Temporary On-street Parking||www.toronto.ca/services-payments/streets-parking-transportation/applying-for-a-parking-permit/temporary-on-street-parking/,442851,519239,193.08860093256337,0.5605271298924469
Festivals & Events Calendar||www.toronto.ca/explore-enjoy/festivals-events/festivals-events-calendar/,440582,557109,203.87249701253785,0.7037986118361622
Winterlicious Restaurants & Menus||www.toronto.ca/explore-enjoy/festivals-events/winterlicious/restaurants-menus/,422254,595028,305.13575868142317,0.3597195053214416
Mytoronto Pay||www.toronto.ca/services-payments/mytoronto-pay/,406114,483378,204.26902714657462,0.3827841443535559
Mywatertoronto Application||www.toronto.ca/services-payments/water-environment/how-to-use-less-water/mywatertoronto/mywater-toronto-application/,403081,439380,210.25681065681064,0.8221176388864769
Adopt A Pet||www.toronto.ca/community-people/animals-pets/adopt-a-pet/,400948,494059,166.847443303825,0.587629817332921
Rent-geared-to-income Housing||www.toronto.ca/community-people/employment-social-support/housing-support/rent-geared-to-income-subsidy/,382016,473991,268.8176233974676,0.6783721100686882
Property Tax||www.toronto.ca/services-payments/property-taxes-utilities/property-tax/,381938,459347,32.3809420034615,0.11974718409794259
Property Tax Lookup||www.toronto.ca/services-payments/property-taxes-utilities/lookup-your-property-tax/,374763,451749,15.15080716781034,0.03868044604189848
Waste Wizard||www.toronto.ca/services-payments/recycling-organics-garbage/waste-wizard/,352771,405121,198.7680374311809,0.6229962213447251
City Of Toronto: Building Application Status||secure.toronto.ca/applicationstatus/setup.do,349804,439031,344.09857835967324,0.7424071765903192
How To Register For Recreation Programs||www.toronto.ca/explore-enjoy/recreation/how-to-register-for-recreation-programs/,336056,420831,149.0992917279166,0.25741840645606684
Toronto Island Park||www.toronto.ca/explore-enjoy/parks-gardens-beaches/toronto-island-park/,311231,368601,106.25893546165041,0.3852733178892848
"Services & Payments, Parking Violation Notice Lookup||secure.toronto.ca/webapps/parking/index.html",310102,432192,165.27195562924,0.3077632520912474
Utility Account Lookup||www.toronto.ca/services-payments/property-taxes-utilities/utility-account-lookup/utility-account-lookup-terms-of-use/,306271,431720,210.95749109343276,0.2253918914947873
Ferries To Toronto Island Park||www.toronto.ca/explore-enjoy/parks-gardens-beaches/toronto-island-park/ferries-to-toronto-island-park/,305824,347991,269.6340875449355,0.48466111227372605
Designated & Statutory Holidays||www.toronto.ca/home/contact-us/statutory-holidays/,304113,319381,366.1373710658556,0.9360237806341721
Winterlicious||www.toronto.ca/explore-enjoy/festivals-events/winterlicious/,300672,357993,33.0011727491823,0.210518438697318
Residential On-street Parking||www.toronto.ca/services-payments/streets-parking-transportation/applying-for-a-parking-permit/residential-on-street-parking/,283753,359663,170.61983928889794,0.3405038889456675
Maps||map.toronto.ca/maps/map.jsp,283128,332436,386.8363288916434,0.8245422565058913
"Program Search - Fun Guide Search - Parks, Forestry & Recreation | City Of Toronto||www.toronto.ca/data/parks/funguide/index.html",275626,356932,168.9269966397754,0.3263661628438536
Application Information Centre||www.toronto.ca/city-government/planning-development/application-information-centre/,272712,340617,162.00552667000977,0.37846519405086687
Council & Committee Meetings||www.toronto.ca/city-government/council/council-committee-meetings/,271856,318501,322.8785138457434,0.46768509799305513
Nuit Blanche||www.toronto.ca/explore-enjoy/festivals-events/nuitblanche/,245381,292299,68.22635354230127,0.48844450059295547
Recreation||www.toronto.ca/explore-enjoy/recreation/,244267,304687,37.928245087232504,0.081148906729112
Covid-19: What To Do If You Have Covid-19||www.toronto.ca/community-people/health-wellness-care/health-programs-advice/respiratory-viruses/covid-19/covid-19-what-you-should-do/covid-19-what-to-do-if-you-have-covid-19/,232006,260202,247.17194942260906,0.730032843978173
Property Taxes & Utilities||www.toronto.ca/services-payments/property-taxes-utilities/,230699,310011,24.622899265284612,0.030580973476261274
Applying For A Parking Permit||www.toronto.ca/services-payments/streets-parking-transportation/applying-for-a-parking-permit/,220840,260231,25.93125679698095,0.08976634667632676
Utility Account Lookup||www.toronto.ca/services-payments/property-taxes-utilities/utility-account-lookup/,211653,283605,13.613437864838104,0.020939934704445485
Drop-in Skating||www.toronto.ca/explore-enjoy/recreation/skating-winter-sports/public-leisure-skating/,204382,239238,127.22651133602588,0.4030981201867092
Utility Bill||www.toronto.ca/services-payments/property-taxes-utilities/utility-bill/,201868,248653,30.391029898789093,0.10952701765510135
2023 Curbside Collection Maps & Schedules||www.toronto.ca/services-payments/recycling-organics-garbage/houses/collection-schedule/2023-curbside-collection-map-schedules/,201788,258655,136.39812966870045,0.3534005986480861
Recreation Centres Listings||www.toronto.ca/data/parks/prd/facilities/recreationcentres/index.html,201435,284776,58.62834781790096,0.08334698537989922
Campto||www.toronto.ca/explore-enjoy/recreation/campto/,194013,239926,161.71562403293416,0.4807049012179596
Create A Service Request||www.toronto.ca/home/311-toronto-at-your-service/create-a-service-request/,193364,290901,77.7898896016058,0.106870979086076
Drop-off Depot Locations||www.toronto.ca/services-payments/recycling-organics-garbage/drop-off-depots/locations/,192912,224767,190.51611781652014,0.42583146719747866
Toronto Public Library||www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/city-managers-office/agencies-corporations/agencies/toronto-public-library/,188768,225695,105.5499851738891,0.783072342769961
Speed Camera Map||www.toronto.ca/services-payments/streets-parking-transportation/road-safety/vision-zero/safety-initiatives/automated-speed-enforcement/speed-cameras/,188443,226431,320.51825937631304,0.5424027424738516
Contact Us||www.toronto.ca/home/contact-us/,184772,213358,121.09252145280384,0.1620104777780183
Application Details||www.toronto.ca/city-government/planning-development/application-details/,181244,558056,152.236260042022,0.23605195206462007
Drop-in Programs Map - Programs - Recreation Programs & Registration | City Of Toronto||www.toronto.ca/data/parks/dropin/index.html,178842,216937,205.92824979457683,0.38944431397546436
Service Request||www.toronto.ca/home/311-toronto-at-your-service/create-a-service-request/service-request/,176081,269650,242.1856053994298,0.16842248737796808
Step 1: Apply For A Marriage Licence||www.toronto.ca/services-payments/venues-facilities-bookings/getting-married/step-1-applying-for-a-marriage-licence/,173329,224395,211.64742213804715,0.48891414593057136
What Goes In The Blue Bin (recycling)?||www.toronto.ca/services-payments/recycling-organics-garbage/houses/what-goes-in-my-blue-bin/,171656,195504,185.3008658786333,0.6395873141632101
"Staff Directory, Divisions & Customer Service||www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/",165211,199428,180.68782472804025,0.35985497333712646
Drivers For Private Transportation Companies||www.toronto.ca/services-payments/permits-licences-bylaws/private-transportation-companies-uberfacedrive-drivers/drivers-for-private-transportation-companies/,163823,226544,192.56052423928588,0.6610549190284637
Building Permit Application & Inspection Status||www.toronto.ca/services-payments/building-construction/search-the-status-of-a-building-permit-application/,157462,179425,214.52611897079507,0.5434072982687886
Recreation Centres Map||www.toronto.ca/data/parks/maps/centres/index.html,155769,238624,101.08766615885533,0.09125692531890171
Animals & Pets||www.toronto.ca/community-people/animals-pets/,154300,189635,26.808629784752412,0.0891445236552171
Parks Map||www.toronto.ca/data/parks/maps/index.html,154248,213872,105.45578601719387,0.1186854934910015
Customer Experience - 311 - Toronto At Your Service||www.toronto.ca/home/311-toronto-at-your-service/,151231,176503,62.4503985689179,0.20572501669631227
Canada-ontario Housing Benefit (cohb)||www.toronto.ca/community-people/employment-social-support/housing-support/rent-geared-to-income-subsidy/canada-ontario-housing-benefit/,149756,186790,181.33001725989047,0.5883236731750314
Red Light Cameras||www.toronto.ca/services-payments/streets-parking-transportation/traffic-management/pavement-markings/red-light-cameras/,148483,184395,84.11935834692768,0.4240687486109521
Ontario Works Training Programs In Toronto||www.toronto.ca/community-people/employment-social-support/employment-support/training-courses/ontario-works-training-programs-in-toronto/,147308,180759,381.18028973040606,0.672570396719798
News Releases & Other Resources||www.toronto.ca/news/,144761,175062,90.1488049548715,0.5959892512486098
Swimming & Water Play||www.toronto.ca/explore-enjoy/recreation/swimming/,143944,177931,138.9871361615674,0.3282734952481521
Road Restrictions||www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/,143810,167088,197.7684594968582,0.5119671789166261
Outdoor Rinks Listings||www.toronto.ca/data/parks/prd/facilities/outdoor-rinks/index.html,139798,173839,101.361171080524,0.3278230017596818
Covid-19: Vaccine Eligibility & Doses||www.toronto.ca/community-people/health-wellness-care/health-programs-advice/respiratory-viruses/covid-19/covid-19-vaccines/covid-19-vaccine-eligibility-doses/,139119,162867,197.48270900169842,0.6667672999374636
Ontario Works Payment Schedule||www.toronto.ca/community-people/employment-social-support/support-for-people-in-financial-need/assistance-through-ontario-works/ontario-works-payment-schedule/,136489,153482,233.05327565376672,0.8196411432423125
Toronto Public Health Appointment Booking System||www.toronto.ca/community-people/health-wellness-care/health-programs-advice/immunization/toronto-public-health-appointment-booking-system/,135359,179157,201.70178603644237,0.3801520401303201
Fair Pass Transit Discount Program||www.toronto.ca/community-people/employment-social-support/support-for-people-in-financial-need/assistance-through-ontario-works/transit-discount/,135071,163961,116.68157019469677,0.5031501950825862
Homepage - City Of Toronto Open Data Portal||open.toronto.ca/,134518,155381,32.532610756954675,0.6123195408792875
Toronto Building Inspection Request||secure.toronto.ca/inspectionrequest/index.do,134111,188258,34.89776985237687,0.2400697929327199
Mybenefits||www.toronto.ca/community-people/employment-social-support/support-for-people-in-financial-need/assistance-through-ontario-works/my-benefits/,124096,144587,281.3774389411925,0.7468653300670449
Get Involved||www.toronto.ca/community-people/get-involved/,120543,123169,39.6100690328429,0.8767576715362982
Winter Recreation Programs||www.toronto.ca/explore-enjoy/recreation/winter-recreation-programs/,117823,149475,68.61020908435472,0.24866112728414655
My Child Care Account||www.toronto.ca/community-people/employment-social-support/child-family-support/child-care-support/renewing-your-fee-subsidy/,117064,151018,382.03324007776564,0.3674571174742021
Services & Payments||www.toronto.ca/services-payments/,116850,133389,30.875094503104798,0.03281985451433462
Drop-off Depots||www.toronto.ca/services-payments/recycling-organics-garbage/drop-off-depots/,116094,140394,34.729707916333915,0.08493979017003463
Fitness||www.toronto.ca/explore-enjoy/recreation/fitness/,115677,141745,108.97116968698518,0.3172800124484556
Permits & Licences||www.toronto.ca/services-payments/permits-licences-bylaws/,115216,153689,79.6547277106838,0.1424281349812526
Covid-19: Vaccines||www.toronto.ca/community-people/health-wellness-care/health-programs-advice/respiratory-viruses/covid-19/covid-19-vaccines/,115154,126606,86.41821804725306,0.7016256491307293
Cavalcade Of Lights||www.toronto.ca/explore-enjoy/festivals-events/cavalcade-of-lights/,113371,126929,234.40989864420166,0.7760979439186388
Online Payment | City Of Toronto||secure.toronto.ca/webapps/account-centric/,113036,201636,192.44253943774046,0.3090254432216285
Ebilling Enrol||www.toronto.ca/services-payments/property-taxes-utilities/ebilling-enroll/,109704,188298,113.34495079295431,0.23854189455261432
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/3501/index.html,108284,131245,226.8482508773916,0.6226589339145211
Subsidized Housing Listings||www.toronto.ca/community-people/employment-social-support/housing-support/rent-geared-to-income-subsidy/subsidized-housing-listings/,105893,130677,262.39642057479375,0.3316460955870549
Covid-19: What To Do If You Have Symptoms||www.toronto.ca/community-people/health-wellness-care/health-programs-advice/respiratory-viruses/covid-19/covid-19-what-you-should-do/covid-19-what-to-do-if-you-have-covid-19-symptoms/,105654,119275,152.57431272818047,0.6460238135801768
Toronto By-laws And Municipal Code - Home||www.toronto.ca/legdocs/bylaws/lawhome.htm,105415,113527,41.85949456964788,0.6902433240051226
Overview Of Ontario Works||www.toronto.ca/community-people/employment-social-support/support-for-people-in-financial-need/assistance-through-ontario-works/,105072,119613,184.73980862498362,0.5088986599664992
New Year’s Eve||www.toronto.ca/explore-enjoy/festivals-events/new-years-eve/,103212,118347,277.3882198478812,0.7753265124210363
Swim Lessons||www.toronto.ca/explore-enjoy/recreation/swimming/swim-lessons-and-leadership/,103167,120565,194.40254707509115,0.3285740595345411
One-time Booking Of Parks & Recreation Facilities||www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/simple-permit-booking/,101880,138518,135.43455839717728,0.26012956419316846
"Program Listings - Fun Guide Search - Parks, Forestry & Recreation | City Of Toronto||www.toronto.ca/data/parks/funguide/listings.html",101696,124870,38.143856618030966,0.10816551290119572
Members Of Council||www.toronto.ca/city-government/council/members-of-council/,101569,139856,73.60892336577894,0.23749372347862044
Rights & Responsibilities For Landlords & Tenants||www.toronto.ca/community-people/housing-shelter/rental-housing-tenant-information/rights-responsibilities-for-landlords-tenants/,101318,113764,250.31767530859565,0.727728537870862
"Streets, Parking & Transportation||www.toronto.ca/services-payments/streets-parking-transportation/",99039,116390,56.99202404972443,0.12209331677420006
Dispute Your Provincial Offence||www.toronto.ca/services-payments/tickets-fines-penalties/dispute/dispute-your-provincial-offence/,98886,124403,161.21103140596665,0.30274255202960987
Food Waste||www.toronto.ca/services-payments/recycling-organics-garbage/long-term-waste-strategy/waste-reduction/food-waste/,96945,104456,363.6964932342291,0.9076589818969519
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/189/index.html,96760,116786,192.1959200438116,0.5508577924762299
Cframe||www.toronto.ca/data/parks/prd/swimming/dropin/leisure/index.html,96377,114634,142.3471391556759,0.42391856978324705
Child Care & Before-after School Program Locator||www.toronto.ca/community-people/children-parenting/children-programs-activities/licensed-child-care/child-care-locator/,94525,119607,146.70446902278826,0.2037344617825972
Facility Classifications And Ratings - City Of Toronto||www.toronto.ca/data/parks/prd/facilities/ratings/index.html,93628,134139,104.25323881691519,0.04922672704746443
Towaste App||www.toronto.ca/services-payments/recycling-organics-garbage/towaste-app/,93383,105845,169.72740093075728,0.5481297452427101
Household Hazardous Waste||www.toronto.ca/services-payments/recycling-organics-garbage/household-hazardous-waste/,93228,109358,95.50765204528645,0.4408332260694212
Licence & Permit Online Application||www.toronto.ca/business-economy/new-businesses-startups/business-regulations/business-licences-permits-application-portal/,92770,127586,324.2576459204479,0.40984154360245767
Road Restrictions & Closures||www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/,90553,102537,29.665042862974556,0.25516548319768534
"Recycling, Organics & Garbage||www.toronto.ca/services-payments/recycling-organics-garbage/",90147,110303,34.78952587736696,0.08315307220428855
Free & Lower-cost Recreation Options||www.toronto.ca/explore-enjoy/recreation/free-lower-cost-recreation-options/,89711,118609,85.44698737822367,0.14633656965143627
Garbage Bin Sizes & Fees||www.toronto.ca/services-payments/recycling-organics-garbage/houses/garbage-bin-sizes-fees/,89676,107784,169.36164836072342,0.3332329720326509
Licensed Child Care||www.toronto.ca/community-people/children-parenting/children-programs-activities/licensed-child-care/,89477,116709,40.166896357472666,0.11399577545067448
Waste Reduction||www.toronto.ca/services-payments/recycling-organics-garbage/long-term-waste-strategy/waste-reduction/,88122,95614,152.0100995527341,0.8329815483080275
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/2012/index.html,86844,119222,162.58213807611398,0.577460734190042
Vacant Home Tax Notice Of Complaint||www.toronto.ca/services-payments/property-taxes-utilities/vacant-home-tax/vacant-home-tax-notice-of-complaint/,86577,120699,293.4277674488719,0.168231747461797
Path – Toronto's Downtown Pedestrian Walkway||www.toronto.ca/explore-enjoy/visitor-toronto/path-torontos-downtown-pedestrian-walkway/,85634,96678,237.40741249142073,0.8455403227689936
